Quarter,Interest
2014 Q3,1.25
2014 Q4,1.25
2015 Q1,1
2015 Q2,1
2015 Q3,0.75
2015 Q4,0.75
2016 Q1,0.75
2016 Q2,0.75
2016 Q3,0.75
2016 Q4,0.75
2017 Q1,0.75
2017 Q2,0.75
2017 Q3,1.0833333333333333
2017 Q4,1.25
2018 Q1,1.5
2018 Q2,1.5
2018 Q3,1.75
2018 Q4,2
2019 Q1,2
2019 Q2,2
2019 Q3,2
2019 Q4,2
2020 Q1,1.6666666666666667
2020 Q2,0.5
2020 Q3,0.5
2020 Q4,0.5
2021 Q1,0.5
2021 Q2,0.5
2021 Q3,0.5
2021 Q4,0.5
2022 Q1,0.5833333333333334
2022 Q2,1.4166666666666667
2022 Q3,3
2022 Q4,4
2023 Q1,4.666666666666667
2023 Q2,4.833333333333333
2023 Q3,5.25
2023 Q4,5.25
